               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10463,            0.034808,                   0,            0.037453,             0.50515,            0.055748,            0.013313,            0.075345,            0.017733,                   0,              0.0721,              0.0031,              0.0031
                   1,            0.079508,            0.042489,                   0,             0.35832,             0.25773,             0.24492,            0.073444,             0.06344,            0.016741,                   0,            0.043238,           0.0062376,           0.0062376
                   2,            0.069409,            0.028385,                   0,             0.58856,             0.72263,             0.66147,             0.29369,            0.047938,            0.010988,                   0,            0.014312,           0.0093119,           0.0093119
                   3,            0.063824,            0.025099,                   0,             0.71443,             0.74797,             0.74778,             0.29655,            0.047918,           0.0094759,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.055892,            0.020608,                   0,             0.69214,             0.81443,             0.80709,             0.44243,            0.039569,           0.0081459,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.051181,            0.021003,                   0,             0.68012,             0.89869,             0.84063,             0.48218,            0.036814,           0.0076171,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.048088,             0.01941,                   0,             0.91893,             0.93485,             0.97501,             0.58909,            0.028974,           0.0064085,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.040534,            0.017045,                   0,             0.93996,             0.96847,             0.98299,             0.61241,            0.026982,           0.0060567,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.039602,            0.017753,                   0,             0.91192,             0.90722,             0.97064,             0.58087,            0.030017,           0.0062679,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.036013,            0.014474,                   0,             0.97728,             0.96907,             0.99037,             0.70672,            0.024228,           0.0057329,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039187,            0.019385,                   0,              0.9384,             0.94237,             0.98437,             0.67445,            0.025521,           0.0057539,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033935,            0.014704,                   0,             0.98891,                   1,              0.9948,             0.75064,            0.021513,           0.0053117,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032706,            0.014527,                   0,             0.98585,             0.98969,             0.99449,             0.70755,            0.025652,           0.0054783,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.032138,            0.012994,                   0,             0.98348,             0.95876,             0.98212,             0.72977,            0.021461,           0.0055878,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032802,            0.014012,                   0,                   1,             0.97759,              0.9808,             0.74193,            0.020783,           0.0054108,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031655,            0.014518,                   0,              0.9601,                   1,             0.99149,              0.6089,            0.027463,           0.0054015,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.030074,            0.013237,                   0,             0.98744,                   1,             0.99367,             0.76529,            0.018706,           0.0050647,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.031993,             0.01638,                   0,             0.98977,             0.99767,             0.99429,             0.78626,            0.019394,           0.0051188,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.031798,            0.015456,                   0,              0.9872,                   1,               0.995,             0.78595,            0.018474,           0.0050249,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.028517,            0.012774,                   0,                   1,             0.99862,               0.995,             0.72572,            0.019834,           0.0049593,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.029311,            0.013927,                   0,             0.99845,                   1,               0.995,             0.75395,            0.019713,           0.0052853,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.030465,            0.014046,                   0,              0.9867,             0.98969,              0.9945,             0.74514,            0.019258,            0.005303,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.026901,            0.013961,                   0,             0.99839,                   1,               0.995,             0.75905,             0.01924,           0.0051297,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.02797,            0.013656,                   0,             0.95933,             0.98969,               0.993,             0.79596,            0.017336,            0.005335,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.028068,            0.013982,                   0,             0.99732,             0.98969,             0.99442,             0.81174,            0.017471,           0.0047084,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.027587,            0.013426,                   0,             0.99859,                   1,               0.995,             0.81185,            0.016166,           0.0046529,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026992,            0.013973,                   0,             0.99916,                   1,               0.995,             0.79577,            0.016616,           0.0046123,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.026773,            0.014012,                   0,              0.9984,                   1,               0.995,              0.7887,            0.017903,           0.0048468,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.026138,            0.012763,                   0,             0.99939,                   1,               0.995,             0.80944,            0.017659,           0.0049034,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.026185,            0.013597,                   0,             0.98864,                   1,              0.9949,             0.82529,            0.015628,           0.0045756,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.023807,            0.011826,                   0,             0.99912,                   1,               0.995,             0.81502,            0.016383,           0.0046337,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.024165,            0.012421,                   0,             0.99917,                   1,               0.995,             0.79077,            0.015939,           0.0045489,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.025187,            0.011769,                   0,                   1,             0.99775,               0.995,             0.82529,            0.015464,           0.0046004,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.024309,            0.012348,                   0,             0.99894,             0.98969,              0.9949,             0.81227,            0.015774,           0.0047398,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.023871,             0.01173,                   0,              0.9992,                   1,               0.995,             0.81429,            0.015385,           0.0046262,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.023147,            0.011478,                   0,             0.99923,                   1,               0.995,             0.84646,            0.015117,            0.004577,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.02408,            0.011866,                   0,             0.99928,                   1,               0.995,             0.83112,            0.014761,           0.0043211,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.022686,            0.012637,                   0,              0.9992,                   1,               0.995,             0.82629,            0.015081,           0.0044194,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.023918,            0.011889,                   0,             0.99918,                   1,               0.995,             0.81553,            0.015965,           0.0048029,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.025228,            0.012505,                   0,             0.99914,                   1,               0.995,             0.82834,            0.015653,           0.0045059,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.021946,            0.011033,                   0,             0.99922,                   1,               0.995,             0.81127,             0.01652,           0.0043454,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021823,            0.010899,                   0,             0.99908,                   1,               0.995,             0.83611,            0.014951,           0.0043856,                   0,             0.00604,             0.00604,             0.00604
